date,total_trades,win_rate,rr,ev,total_pnl,profit_factor,max_consec_loss,n_long,n_short,n_breakout,n_pullback,top_losing_symbol,losing_streaks
2026-06-11,38,18.4,0.03,-516.04,-19609.51,0.01,12,18,20,24,14,烧碱,2
2026-06-11,38,18.4,0.03,-516.04,-19609.51,0.01,12,18,20,24,14,烧碱,2
2026-06-12,38,18.4,0.03,-516.04,-19609.51,0.01,12,18,20,24,14,烧碱,2
2026-06-14,35,20.0,0.03,-558.09,-19533.08,0.01,12,17,18,21,14,烧碱,2
2026-06-15,37,18.9,0.03,-530.09,-19613.22,0.01,14,18,19,23,14,烧碱,2
2026-06-16,39,23.1,0.09,-493.59,-19249.93,0.03,14,18,21,25,14,烧碱,2
2026-06-17,39,23.1,0.09,-493.59,-19249.93,0.03,14,18,21,25,14,烧碱,2
2026-06-18,35,25.7,0.08,-542.1,-18973.36,0.03,14,15,20,22,13,烧碱,2
2026-06-19,31,25.8,0.08,-564.08,-17486.46,0.03,14,12,19,20,11,锡,1
2026-06-21,27,22.2,0.09,-644.44,-17399.89,0.03,14,11,16,20,7,锡,1
2026-06-22,30,26.7,1.07,-364.1,-10923.12,0.39,14,12,18,23,7,锡,1
2026-06-23,30,26.7,1.07,-364.1,-10923.12,0.39,14,12,18,23,7,锡,1
2026-06-24,37,24.3,1.18,-307.25,-11368.39,0.38,14,15,22,26,11,锡,2
2026-06-25,37,27.0,1.03,-308.11,-11400.1,0.38,14,13,24,27,10,锡,2
2026-06-26,40,27.5,0.92,-327.77,-13110.67,0.35,14,13,27,28,12,锡,2
2026-06-28,36,25.0,1.39,-223.89,-8059.87,0.46,14,12,24,26,10,氧化铝,1
2026-06-29,39,23.1,1.13,-347.7,-13560.37,0.34,14,12,27,27,12,氧化铝,1
2026-06-30,42,21.4,1.24,-324.68,-13636.6,0.34,14,13,29,29,13,黄金,2
2026-07-01,46,23.9,1.09,-293.92,-13520.32,0.34,14,13,33,29,17,黄金,2
2026-07-02,46,21.7,1.24,-291.75,-13420.5,0.34,13,12,34,29,17,黄金,2
2026-07-03,45,22.2,1.69,-167.96,-7558.36,0.48,11,11,34,28,17,黄金,2
2026-07-05,43,23.3,1.69,-156.87,-6745.5,0.51,9,10,33,27,16,黄金,2
